link_meci,data_meci,echipa_gazda,echipa_oaspete,goluri_gazda,goluri_oaspete,posesie_minge_gazda,posesie_minge_oaspete,total_suturi_gazda,total_suturi_oaspete,suturi_pe_poarta_gazda,suturi_pe_poarta_oaspete,cornere_gazda,cornere_oaspete,cartonase_galbene_gazda,cartonase_galbene_oaspete,cartonase_rosii_gazda,cartonase_rosii_oaspete,ofsaiduri_gazda,ofsaiduri_oaspete,lovituri_libere_gazda,lovituri_libere_oaspete,aruncari_de_la_margine_gazda,aruncari_de_la_margine_oaspete,faulturi_gazda,faulturi_oaspete,interventii_portar_gazda,interventii_portar_oaspete
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/dinamo-bucuresti-rBgMi3MH/sumar/statistici/0/?mid=4pDKnDN0,16.01.2021,Dinamo București,Chindia Târgoviște,0,1,,,5,3,1,1,3,4,5,3,0,0,0,2,26,13,38,32,,,0,1
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=2uuo3Y7s,17.01.2021,FC Argeș,Gaz Metan Mediaș,1,1,,,6,2,3,2,2,3,2,1,0,0,4,3,19,11,31,34,,,1,2
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/sepsi-IDsPIcMA/sumar/statistici/0/?mid=EFfB9zVD,17.01.2021,Sepsi Sf. Gheorghe,CFR Cluj,0,1,56%,44%,10,5,4,2,4,4,4,2,0,0,1,2,21,18,20,25,,,1,4
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=b7COoXx7,17.01.2021,LPS HD Clinceni,FC Hermannstadt,0,0,50%,50%,3,8,1,5,2,2,2,3,0,0,2,0,16,17,29,36,,,5,1
https://www.flashscore.ro/meci/fotbal/fc-botosani-GjY1JjUS/poli-iasi-t84qisiU/sumar/statistici/0/?mid=p4Uk2hNm,18.01.2021,Poli Iași,FC Botoșani,0,1,44%,56%,4,7,1,4,1,5,1,1,0,0,3,5,14,14,29,32,,,3,1
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=h6gF8fpK,18.01.2021,Astra Giurgiu,Univ. Craiova,1,1,45%,55%,3,12,2,5,2,6,2,3,0,0,4,3,22,15,17,17,,,4,1
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=CAGSpihD,19.01.2021,FC Voluntari,UTA Arad,0,1,,,2,11,1,6,4,6,,,0,0,0,0,21,19,28,29,,,5,1
https://www.flashscore.ro/meci/fotbal/fcsb-Gv2kjDpN/viitorul-constanta-billykZb/sumar/statistici/0/?mid=0WhJ7EaQ,19.01.2021,FC Viitorul,FCSB,2,2,36%,64%,7,12,6,6,5,7,4,1,0,0,4,0,14,19,19,20,,,5,4
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=ldR6bAMC,22.01.2021,Chindia Târgoviște,LPS HD Clinceni,2,1,51%,49%,7,6,4,3,4,6,3,5,0,0,2,0,10,19,23,23,,,2,2
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=pI9OGixs,22.01.2021,FCSB,FC Voluntari,2,1,63%,37%,12,4,4,3,9,2,3,2,0,0,1,3,21,18,24,23,,,2,2
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/sepsi-IDsPIcMA/sumar/statistici/0/?mid=tjEhMDEJ,23.01.2021,Sepsi Sf. Gheorghe,Astra Giurgiu,4,1,,,9,4,6,1,0,6,1,1,0,0,2,2,19,19,24,28,,,0,2
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=b7Yg1Cxf,23.01.2021,UTA Arad,FC Argeș,1,2,54%,46%,5,4,2,2,4,3,2,0,0,0,2,2,16,21,35,25,,,0,1
https://www.flashscore.ro/meci/fotbal/univ-craiova-bsd9fGaK/viitorul-constanta-billykZb/sumar/statistici/0/?mid=vyXeLXTP,23.01.2021,Univ. Craiova,FC Viitorul,1,1,,,9,6,4,2,9,4,2,3,0,0,3,1,10,13,21,19,,,1,3
https://www.flashscore.ro/meci/fotbal/gaz-metan-p0uYHXwo/poli-iasi-t84qisiU/sumar/statistici/0/?mid=hUXc0Wi0,24.01.2021,Gaz Metan Mediaș,Poli Iași,2,1,,,9,6,5,4,5,4,4,2,0,0,1,1,16,17,30,28,,,3,3
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=WKW1aj76,24.01.2021,FC Botoșani,Dinamo București,4,0,,,12,10,6,5,6,3,3,3,0,0,3,3,12,13,7,19,,,5,2
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/fc-hermannstadt-pUUuFXvI/sumar/statistici/0/?mid=SnQAcUyJ,25.01.2021,FC Hermannstadt,CFR Cluj,1,3,43%,57%,4,11,1,10,2,3,4,2,0,0,2,6,18,15,20,18,,,7,0
https://www.flashscore.ro/meci/fotbal/sepsi-IDsPIcMA/viitorul-constanta-billykZb/sumar/statistici/0/?mid=0E3iA7LO,26.01.2021,FC Viitorul,Sepsi Sf. Gheorghe,3,3,55%,45%,7,7,5,4,2,6,2,3,0,0,1,0,15,12,15,14,,,1,2
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=069SYjbP,26.01.2021,FC Voluntari,Univ. Craiova,1,1,42%,58%,5,11,4,4,6,10,1,1,0,0,5,3,14,16,23,17,,,3,3
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=O88SFBim,26.01.2021,FC Argeș,FCSB,0,0,,,5,13,2,9,4,9,1,2,0,0,3,0,19,18,22,52,,,9,2
https://www.flashscore.ro/meci/fotbal/fc-botosani-GjY1JjUS/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=Ec1uD9y6,27.01.2021,LPS HD Clinceni,FC Botoșani,2,1,51%,49%,8,9,5,3,2,8,6,4,0,0,5,3,10,21,28,33,,,2,3
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/poli-iasi-t84qisiU/sumar/statistici/0/?mid=hrDWEV6g,27.01.2021,Poli Iași,UTA Arad,1,2,,,2,19,2,9,0,13,3,5,0,0,0,2,17,14,27,33,,,7,1
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=WYBzEkMa,27.01.2021,Dinamo București,Gaz Metan Mediaș,2,1,55%,45%,12,9,5,5,5,3,5,3,0,0,5,5,22,26,27,30,,,4,3
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/fc-hermannstadt-pUUuFXvI/sumar/statistici/0/?mid=MN4mBm6I,28.01.2021,FC Hermannstadt,Chindia Târgoviște,1,1,59%,41%,4,8,1,3,1,2,3,3,0,0,2,0,24,19,31,31,,,2,0
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/fc-astra-EihjKDVb/sumar/statistici/0/?mid=S05qCTjC,28.01.2021,CFR Cluj,Astra Giurgiu,1,1,,,16,6,9,2,8,2,0,4,0,0,1,0,14,15,33,19,,,1,8
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=KI4m7v5p,29.01.2021,Univ. Craiova,FC Argeș,1,1,63%,37%,12,5,3,3,5,3,1,4,0,0,2,2,15,20,20,18,,,2,2
https://www.flashscore.ro/meci/fotbal/gaz-metan-p0uYHXwo/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=Aua2Slyg,30.01.2021,Gaz Metan Mediaș,LPS HD Clinceni,1,1,48%,52%,7,6,2,2,4,9,4,3,0,0,1,1,17,13,23,21,,,1,1
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/sepsi-IDsPIcMA/sumar/statistici/0/?mid=vLjJO6zI,30.01.2021,Sepsi Sf. Gheorghe,FC Voluntari,2,2,51%,49%,3,4,2,2,5,2,2,3,0,0,1,3,20,17,39,39,,,0,0
https://www.flashscore.ro/meci/fotbal/fcsb-Gv2kjDpN/poli-iasi-t84qisiU/sumar/statistici/0/?mid=2FefUA6t,30.01.2021,FCSB,Poli Iași,3,1,62%,38%,24,5,11,2,12,0,1,3,0,0,0,0,19,13,26,14,,,1,8
https://www.flashscore.ro/meci/fotbal/fc-botosani-GjY1JjUS/fc-hermannstadt-pUUuFXvI/sumar/statistici/0/?mid=0UiFPnLB,31.01.2021,FC Botoșani,FC Hermannstadt,1,0,,,11,6,9,3,7,2,0,4,0,0,1,0,21,15,19,21,,,3,8
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/viitorul-constanta-billykZb/sumar/statistici/0/?mid=WfmBQS55,31.01.2021,Astra Giurgiu,FC Viitorul,1,1,49%,51%,20,3,14,1,11,6,4,3,0,0,1,5,23,16,15,14,,,0,13
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=dxebTULn,31.01.2021,UTA Arad,Dinamo București,0,1,58%,42%,6,8,1,3,1,4,2,4,0,0,1,2,25,11,31,24,,,2,1
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/chindia-targoviste-nklx1aEq/sumar/statistici/0/?mid=h4l7R8ja,01.02.2021,Chindia Târgoviște,CFR Cluj,0,1,54%,46%,8,7,3,4,3,4,3,1,0,0,1,0,10,18,30,32,,,3,3
https://www.flashscore.ro/meci/fotbal/poli-iasi-t84qisiU/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=SvhfQJBM,02.02.2021,Poli Iași,Univ. Craiova,0,3,,,4,17,3,10,3,5,,,0,0,1,2,20,10,20,18,,,7,3
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=KElnSusA,03.02.2021,FC Hermannstadt,Gaz Metan Mediaș,1,1,45%,55%,5,8,3,3,3,7,5,4,0,0,0,1,15,18,25,29,,,2,2
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=tOkrTLR3,03.02.2021,FC Voluntari,Astra Giurgiu,1,3,45%,55%,12,7,5,5,8,1,1,3,0,0,1,1,21,20,21,19,,,2,4
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=A3saPwRS,03.02.2021,Dinamo București,FCSB,0,1,45%,55%,7,10,2,6,1,3,6,1,0,0,0,4,22,26,25,29,,,5,2
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=Wh8i6bKj,04.02.2021,LPS HD Clinceni,UTA Arad,0,3,,,8,8,6,7,11,5,2,1,0,0,1,4,15,13,36,24,,,4,6
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=OnewU1Cc,04.02.2021,Chindia Târgoviște,FC Botoșani,2,3,45%,55%,6,9,2,6,1,5,2,1,0,0,1,2,8,19,20,27,,,3,1
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/viitorul-constanta-billykZb/sumar/statistici/0/?mid=pddZUsci,04.02.2021,CFR Cluj,FC Viitorul,2,1,,,9,7,3,4,4,1,2,3,0,0,4,2,13,15,33,28,,,3,1
